usage_id,user_id,feature,plan,usage_count,first_used_date,last_used_date
fu_18be3301a8e5,usr_00407,grammar_fix,business,57,2024-03-03,2024-10-22
fu_377520002ede,usr_00407,version_history,business,61,2024-03-14,2024-12-27
fu_435bc1caca4f,usr_00407,ai_write,business,42,2025-01-07,2024-05-13
fu_ef1ff6c93060,usr_00407,comments,business,70,2025-05-20,2024-07-18
fu_339b0932eef1,usr_00407,ai_rewrite,business,10,2025-05-06,2024-07-12
fu_fd03898bb835,usr_00407,seo_check,business,73,2025-05-31,2024-03-12
fu_af9361358179,usr_00407,export_pdf,business,22,2024-10-01,2024-11-22
fu_c036d8ad6462,usr_00407,template_picker,business,24,2024-03-06,2025-02-04
fu_d752ffe9d92a,usr_00407,doc_editor,business,28,2024-12-18,2024-09-08
fu_4e2d480074c6,usr_00407,export_docx,business,72,2025-05-05,2024-04-04
fu_7768bb3a737d,usr_00407,brand_voice,business,22,2025-03-15,2024-07-22
fu_3e1644b7e67b,usr_00407,collaboration,business,15,2025-04-01,2024-12-09
fu_66078106903e,usr_03763,ai_rewrite,free,6,2025-02-23,2025-06-06
fu_6eb243b20c0a,usr_03763,grammar_fix,free,10,2025-04-19,2025-05-28
fu_6b8a0f6101d3,usr_03763,comments,free,24,2025-06-05,2025-04-10
fu_fa494f8275d4,usr_03763,export_docx,free,26,2025-06-28,2025-05-25
fu_d932acd3df3d,usr_03763,template_picker,free,17,2025-03-31,2025-03-24
fu_4147068caa40,usr_03763,export_pdf,free,12,2025-06-19,2025-04-19
fu_6709d9fcce52,usr_03960,grammar_fix,pro,21,2025-06-01,2025-05-23
fu_60f4610bc1d2,usr_03960,ai_rewrite,pro,4,2025-05-16,2025-04-12
fu_d11d65646afa,usr_03960,seo_check,pro,22,2025-03-20,2025-05-12
fu_30e19924e50a,usr_03960,ai_write,pro,3,2025-04-10,2025-06-11
fu_86a6b01146dd,usr_03960,collaboration,pro,27,2025-05-06,2025-04-27
fu_da8369a2eee9,usr_03960,template_picker,pro,16,2025-06-29,2025-04-05
fu_96774d7b5d9f,usr_03960,doc_editor,pro,14,2025-04-06,2025-04-07
fu_99c526631453,usr_03960,export_pdf,pro,7,2025-06-21,2025-05-30
fu_0200bb994e0c,usr_03960,brand_voice,pro,16,2025-05-06,2025-04-23
fu_1d7f3bf0b772,usr_03960,export_docx,pro,12,2025-05-31,2025-04-30
fu_6de355340e1d,usr_01271,ai_rewrite,free,23,2024-11-16,2024-11-05
fu_f80e453b41e1,usr_01271,doc_editor,free,25,2024-08-04,2024-06-23
fu_af2730651a99,usr_01271,version_history,free,10,2025-05-25,2025-05-26
fu_352bce06cd9e,usr_01271,template_picker,free,21,2024-12-04,2025-04-08
fu_2a5a1bb307c1,usr_01271,comments,free,20,2025-03-16,2024-06-26
fu_00aa97d6fb18,usr_01271,ai_write,free,25,2025-06-09,2025-02-16
fu_b4bb87728e84,usr_04089,export_docx,free,25,2025-04-08,2025-06-22
fu_b53044fe6273,usr_04089,ai_write,free,18,2025-05-25,2025-04-11
fu_ba4c18f2b039,usr_02008,version_history,free,6,2024-10-24,2024-10-24
fu_c405ad3f4a24,usr_00224,export_docx,free,5,2024-10-29,2025-05-23
fu_c0b219f6e36d,usr_00224,ai_rewrite,free,22,2024-03-04,2025-04-04
fu_fc12b00ec27f,usr_00224,doc_editor,free,1,2025-05-12,2024-08-23
fu_22454bd101e8,usr_00224,template_picker,free,2,2024-06-20,2025-04-24
fu_ba655056a0e7,usr_00224,comments,free,29,2025-05-19,2024-04-25
fu_3207a6788b9f,usr_00224,ai_write,free,16,2025-02-25,2024-02-11
fu_5ecb8729baf2,usr_00224,grammar_fix,free,14,2025-04-04,2024-04-23
fu_a10cbf9cad4b,usr_00224,export_pdf,free,10,2025-02-26,2024-02-23
fu_c5b882ef21c9,usr_02912,ai_rewrite,free,3,2024-12-09,2025-05-23
fu_689c627d261c,usr_02912,export_pdf,free,24,2025-06-09,2025-04-13
fu_324f419f2210,usr_02912,comments,free,20,2025-03-25,2025-01-06
fu_a5358996518f,usr_02912,export_docx,free,5,2025-06-09,2025-06-02
fu_7ac35a26e1bb,usr_02912,doc_editor,free,30,2025-06-10,2025-02-03
fu_774162f8a1ae,usr_02912,grammar_fix,free,30,2025-06-26,2025-06-14
fu_0fb9beeac9d8,usr_02912,ai_write,free,25,2025-03-08,2024-11-27
fu_c71e4f8ef2fd,usr_02912,template_picker,free,4,2024-11-23,2025-06-06
fu_9e622ff0a230,usr_04350,ai_rewrite,pro,24,2025-06-09,2025-05-01
fu_cbea5ba755a6,usr_04350,seo_check,pro,24,2025-05-17,2025-05-07
fu_3bc439f59407,usr_04350,version_history,pro,23,2025-05-24,2025-06-24
fu_d833b6a723a0,usr_04350,brand_voice,pro,13,2025-06-17,2025-06-03
fu_22a3b6096806,usr_02877,comments,pro,21,2025-05-25,2025-06-29
fu_1462f89cbfad,usr_02877,collaboration,pro,23,2025-06-09,2025-05-21
fu_15dfedac6481,usr_03721,export_docx,free,30,2025-04-17,2025-02-28
fu_7f9ec2f8723b,usr_03721,ai_rewrite,free,7,2025-03-10,2025-03-10
fu_501e6bbb5d13,usr_03721,doc_editor,free,13,2025-04-15,2025-06-16
fu_9e1d4a218ac8,usr_03721,grammar_fix,free,21,2025-03-28,2025-06-03
fu_d80f8dc8bd63,usr_03721,template_picker,free,9,2025-04-26,2025-03-07
fu_8b3d5dafcc2e,usr_03721,version_history,free,29,2025-03-27,2025-04-21
fu_ca5af03c1e81,usr_03721,ai_write,free,8,2025-03-20,2025-04-11
fu_d60f5f4e3cfa,usr_03841,ai_write,free,21,2025-05-23,2025-04-14
fu_d6f2a7d21973,usr_03841,export_docx,free,12,2025-04-19,2025-03-15
fu_671a19209b4a,usr_03841,doc_editor,free,17,2025-05-02,2025-03-27
fu_c72f631fd28a,usr_03841,grammar_fix,free,10,2025-03-02,2025-03-24
fu_e44cbd33e957,usr_03841,template_picker,free,24,2025-05-20,2025-03-02
fu_1908c449d1cc,usr_04490,comments,free,6,2025-05-12,2025-06-24
fu_d3833b50217e,usr_04490,doc_editor,free,13,2025-06-01,2025-05-14
fu_b9f914137aad,usr_04490,grammar_fix,free,27,2025-06-25,2025-05-19
fu_25a5bc20e166,usr_04490,template_picker,free,25,2025-06-17,2025-06-16
fu_ab2ae3a706eb,usr_04490,export_docx,free,15,2025-05-29,2025-05-23
fu_931a8829e8a1,usr_04490,ai_rewrite,free,3,2025-06-04,2025-06-15
fu_930c21d74215,usr_04490,export_pdf,free,8,2025-05-20,2025-05-28
fu_32784b2f6f9c,usr_04490,ai_write,free,21,2025-06-13,2025-05-28
fu_aaea26038bf7,usr_02631,template_picker,free,28,2025-04-24,2025-03-21
fu_24e5f04a134c,usr_02631,export_pdf,free,10,2024-12-14,2025-02-14
fu_1050be9f3e7b,usr_02631,ai_rewrite,free,29,2025-01-01,2025-03-22
fu_0202a76883ca,usr_02631,comments,free,9,2024-11-22,2025-02-05
fu_3864e4f8b5e4,usr_02631,grammar_fix,free,7,2025-01-11,2025-04-01
fu_8422c8f11249,usr_02631,ai_write,free,16,2024-10-23,2025-04-19
fu_f819e73013a5,usr_03394,ai_rewrite,pro,19,2025-03-12,2025-06-27
fu_138de411c51b,usr_03394,ai_write,pro,10,2025-02-20,2025-05-31
fu_05b2f623b16a,usr_03394,brand_voice,pro,1,2025-05-25,2025-06-29
fu_80e11bfd5a6f,usr_03394,seo_check,pro,21,2025-06-11,2025-06-06
fu_0eaf2729ad7b,usr_03394,template_picker,pro,15,2025-01-11,2025-02-23
fu_a905573816ba,usr_03394,collaboration,pro,25,2025-03-29,2025-02-24
fu_15cb7b58331f,usr_03394,export_docx,pro,22,2025-03-15,2025-06-27
fu_95ace62447dd,usr_04922,grammar_fix,pro,23,2025-06-24,2025-06-28
fu_32e369a6c3eb,usr_04922,ai_rewrite,pro,26,2025-06-27,2025-06-24
fu_56720ca0b181,usr_04922,doc_editor,pro,25,2025-06-24,2025-06-28
fu_58ec93ebd703,usr_04922,comments,pro,13,2025-06-27,2025-06-24
fu_1a86967f5c79,usr_03296,export_pdf,pro,8,2025-02-08,2025-05-20
fu_7701e3d2e193,usr_03296,ai_rewrite,pro,23,2025-05-28,2025-02-24
fu_0c3cd4ee2ed5,usr_03296,collaboration,pro,25,2025-06-11,2025-02-23
fu_5935fd4a9b1f,usr_03296,grammar_fix,pro,3,2025-04-05,2025-03-19
fu_7b6885945ede,usr_03296,version_history,pro,29,2025-04-11,2025-04-10
fu_01630c982663,usr_03296,ai_write,pro,15,2025-02-25,2025-06-26
fu_b8699c515588,usr_03296,template_picker,pro,17,2025-03-11,2025-03-01
fu_d09b1cb71a78,usr_03296,doc_editor,pro,11,2025-01-24,2025-05-06
fu_d83fe70bbf0b,usr_03296,comments,pro,8,2025-03-16,2025-03-22
fu_e355884571e0,usr_03296,brand_voice,pro,1,2025-03-11,2025-06-28
fu_27f17969da3a,usr_00506,version_history,free,17,2025-05-15,2024-10-18
fu_f2ecd840ec25,usr_00506,doc_editor,free,11,2024-06-04,2024-03-18
fu_8f178b9e2a2b,usr_01935,grammar_fix,business,21,2025-01-18,2025-01-10
fu_da30a6325cde,usr_01935,ai_write,business,65,2024-12-25,2024-10-21
fu_cb3e4a1cf7c2,usr_01935,comments,business,17,2025-03-31,2025-01-30
fu_ae7cd0ae820c,usr_01935,version_history,business,51,2024-08-11,2025-01-06
fu_48ee4ce9e100,usr_01935,seo_check,business,57,2024-09-02,2025-01-28
fu_5a2bd69c51d4,usr_01935,ai_rewrite,business,37,2024-12-21,2024-11-25
fu_70686f5a6ecb,usr_01935,template_picker,business,19,2025-06-25,2024-12-27
fu_3011e15ac609,usr_01935,export_docx,business,34,2025-01-08,2025-06-13
fu_ef5d663c0732,usr_03823,doc_editor,free,14,2025-05-18,2025-05-31
fu_3b84dcf5e90b,usr_03823,ai_rewrite,free,3,2025-04-09,2025-03-05
fu_7ed0c8e9796e,usr_03823,template_picker,free,18,2025-04-19,2025-06-22
fu_e492bfe75f58,usr_03823,ai_write,free,7,2025-06-19,2025-04-26
fu_8fc45b88690c,usr_03823,version_history,free,13,2025-05-08,2025-04-19
fu_7c1f7ad3b0bb,usr_03823,comments,free,20,2025-04-24,2025-06-13
fu_d1c288d2244d,usr_03823,export_pdf,free,14,2025-04-17,2025-06-12
fu_18912d844e47,usr_03823,export_docx,free,6,2025-03-22,2025-06-04
fu_2fcf26a4305c,usr_03823,grammar_fix,free,27,2025-04-26,2025-04-12
fu_6c894c8b63fc,usr_04320,ai_rewrite,pro,1,2025-05-29,2025-04-27
fu_35760caaa087,usr_04320,version_history,pro,15,2025-04-22,2025-05-19
fu_2b227b1e1973,usr_04320,grammar_fix,pro,27,2025-06-18,2025-06-14
fu_c14acb1c41e2,usr_04320,export_docx,pro,19,2025-04-27,2025-04-27
fu_8af06249605b,usr_04320,collaboration,pro,25,2025-05-21,2025-06-19
fu_e34cb4a5f8bb,usr_04320,export_pdf,pro,22,2025-05-04,2025-06-05
fu_5306c3701cff,usr_04059,version_history,free,8,2025-04-10,2025-05-17
fu_05dd4559ed3d,usr_04059,doc_editor,free,12,2025-05-26,2025-04-07
fu_4a0d24ee7c02,usr_04059,export_docx,free,6,2025-06-13,2025-06-20
fu_e11c9ef1d3ae,usr_01006,collaboration,business,80,2025-05-12,2024-04-23
fu_29ac6e361c93,usr_01006,seo_check,business,50,2025-06-04,2024-05-03
fu_25ce4f14828f,usr_01006,brand_voice,business,44,2025-04-08,2024-11-20
fu_6310f0a49eed,usr_01006,grammar_fix,business,66,2024-07-29,2024-07-19
fu_87c6e35cc5d4,usr_01006,ai_rewrite,business,54,2024-05-01,2025-06-04
fu_a5a17be4aa41,usr_01006,comments,business,15,2024-07-07,2024-08-28
fu_0557e15824c6,usr_01006,template_picker,business,16,2025-01-09,2025-04-18
fu_38631245b14b,usr_01773,seo_check,pro,6,2024-11-06,2025-03-03
fu_75849164defd,usr_01773,version_history,pro,30,2024-10-15,2024-11-05
fu_7f4707ce03af,usr_01773,grammar_fix,pro,11,2024-11-22,2025-02-18
fu_833140d1a457,usr_01773,export_pdf,pro,25,2025-02-06,2025-02-28
fu_db845c399b0c,usr_01773,export_docx,pro,15,2024-12-27,2024-11-30
fu_9b7af014644d,usr_01773,doc_editor,pro,26,2024-10-05,2025-04-17
fu_e3b31cdb2358,usr_01773,ai_rewrite,pro,20,2025-05-16,2025-05-17
fu_f004e18bf468,usr_01773,comments,pro,14,2024-08-03,2025-03-10
fu_f8678a11852f,usr_01773,brand_voice,pro,29,2025-03-24,2024-08-14
fu_2abe86c58e0a,usr_01773,template_picker,pro,26,2024-11-24,2024-12-12
fu_82a0c2586cbb,usr_01773,ai_write,pro,19,2025-04-28,2024-08-04
fu_44e0ea628a2f,usr_01773,collaboration,pro,8,2025-01-11,2024-10-23
fu_c967d0f9ec12,usr_02751,export_docx,free,8,2025-03-01,2024-12-19
fu_66623c94d34c,usr_02751,doc_editor,free,29,2025-05-15,2025-04-10
fu_21c666061fb8,usr_03634,grammar_fix,free,17,2025-05-24,2025-02-17
fu_bc64d557cc0e,usr_03634,doc_editor,free,16,2025-05-20,2025-03-20
fu_aef04b778844,usr_02826,doc_editor,pro,4,2025-03-16,2025-03-29
fu_5aac79ba1fda,usr_02826,comments,pro,7,2025-01-04,2025-05-16
fu_858800b6ad8d,usr_02826,ai_write,pro,4,2025-05-25,2025-06-10
fu_4738ec5ec995,usr_02826,brand_voice,pro,22,2025-06-16,2025-01-26
fu_51c4e8f60d45,usr_02826,ai_rewrite,pro,30,2025-01-27,2025-03-27
fu_fcd5846e0b07,usr_02826,seo_check,pro,7,2025-01-20,2024-12-19
fu_063344c84198,usr_04483,ai_rewrite,pro,7,2025-05-30,2025-06-22
fu_2fb8a75b8341,usr_04483,seo_check,pro,6,2025-05-20,2025-06-27
fu_52a13bace2c7,usr_04483,export_pdf,pro,11,2025-05-30,2025-06-12
fu_004abf4a97e2,usr_04483,comments,pro,2,2025-05-15,2025-05-27
fu_1e4816226299,usr_03530,version_history,pro,10,2025-05-24,2025-02-18
fu_e833305ffcf1,usr_03530,ai_write,pro,17,2025-03-23,2025-04-29
fu_4770d969424e,usr_03530,grammar_fix,pro,15,2025-06-20,2025-05-13
fu_c00d79d0c764,usr_03530,collaboration,pro,26,2025-02-19,2025-03-24
fu_95f3e5348042,usr_04514,ai_rewrite,pro,7,2025-05-16,2025-05-16
fu_43a193b90825,usr_04514,ai_write,pro,24,2025-05-14,2025-05-20
fu_db39fdf4f03e,usr_04514,grammar_fix,pro,9,2025-06-27,2025-06-12
fu_5061b03a9a2c,usr_04514,export_docx,pro,13,2025-06-04,2025-05-22
fu_92105b56373a,usr_04514,collaboration,pro,8,2025-05-17,2025-06-11
fu_b192740c1c93,usr_04514,template_picker,pro,6,2025-06-29,2025-06-23
fu_ee28628a16c8,usr_04514,brand_voice,pro,14,2025-06-18,2025-06-21
fu_f2d18fd6629f,usr_04514,export_pdf,pro,5,2025-06-19,2025-06-29
fu_7782488c3a22,usr_04427,ai_write,free,17,2025-06-26,2025-06-12
fu_1e43f220afd0,usr_04427,comments,free,21,2025-06-19,2025-06-09
fu_96272aef68d4,usr_04427,grammar_fix,free,24,2025-05-18,2025-06-12
fu_d4e7d9187b21,usr_04427,version_history,free,29,2025-06-19,2025-06-23
fu_68c3ebc1b754,usr_04427,doc_editor,free,6,2025-06-12,2025-06-20
fu_bf5cdbc0703a,usr_04427,ai_rewrite,free,2,2025-06-21,2025-05-27
